did,mid,name,year,gender,country
296011,345286,Gunnar Bergsten,1945,1,Sweden
2360394,894156,Kaja Draksler,1987,2,Slovenia
394319,733736,Peter Baumeister,1940,1,Germany
2229329,2092343,Borlai Gergő,1978,1,Hungary
99438,46211,Roy Hargrove,1969,1,United States
590959,500105,Ava Mendoza,1983,2,United States
99443,101153,Cheikh Lô,1955,1,Senegal
427125,597299,Teddy Kotick,1928,1,United States
361592,9629,The Hilliard Ensemble,1974,,United Kingdom
2065539,891325,Brian Settles,,1,United States
361605,413792,Gordon Jones,1960,1,United Kingdom
230534,7426,Wayne Horvitz,1955,1,United States
263304,353508,Per Hillestad,1959,1,Norway
230537,151382,Cyro Baptista,1950,1,United States
2983050,1141845,Kudret Öztoprak,1947,1,Türkiye
132235,373373,Jimmy Douglass,,1,United States
230540,70460,Eszter Balint,1966,2,United States
2000011,370178,Carl Perkins,1928,1,United States
558223,561302,Mikko Raita,,1,Finland
1901709,672447,Emeli Sandé,1987,2,United Kingdom
267261,347224,Anita Pointer,1948,2,United States
33933,558046,Andy Connell,1961,1,United Kingdom
2229396,1367847,Katie Scheele,,2,United States
1049749,609228,Jaleel Shaw,1978,1,United States
1213591,308573,Dr. John and the Lower 911,,,United States
263320,741776,Øyvind Westby,1947,1,Norway
263325,735387,Svein Christiansen,1941,1,Norway
3048623,1437199,Miho Hazama,1986,2,New York
885937,1002328,Harold E. Smith,,1,United States
33970,402025,Doug Hammond,1942,1,United States
427209,1556780,Julian Priestley,,1,United States
33995,49695,Ed Motta,1971,1,Brazil
459989,831273,Doug de Vries,,1,Australia
394459,134993,Ismael Quintana,1937,1,Puerto Rico
394464,85506,Marcelino Guerra,1914,1,United States
394471,488472,Lewis Kahn,1946,1,United States
591083,1861967,Pekka Tyni,,1,Finland
460021,423407,Ariel Kalma,,1,Australia
984313,1905084,Duncan Bellamy,,1,United Kingdom
984314,909092,Nick Mulvey,1984,1,United Kingdom
984315,1905083,Milo Fitzpatrick,,1,United Kingdom
984316,475441,Portico Quartet,2005,,United Kingdom
984317,1460112,Jack Wyllie,,1,United Kingdom
3900671,1139476,Tumi Mogorosi,,1,South Africa
1311999,1764186,Chris Bridges,,1,United Kingdom
2131207,1977510,Mort Fega,,1,United States
328977,384574,Willie Jones III,1968,1,United States
263441,356872,Richard Davis,1930,1,United States
263445,1022537,Walter Miller,1907,1,United States
263447,1082065,James Jacson,1932,1,United States
263453,2595074,Damon Choice,1944,1,United States
263454,383419,Michael Ray,1962,1,United States
263455,1288296,Noel Scott,,1,United States
1836319,1326673,Marcos Nimrichter,,1,Brazil
