clarence "gatemouth" brown;rhythm and blues,rock and roll,blues,swing music,country music,rock music
eric demmer;swing music,country music,rhythm and blues,blues
joe krown;swing music,country music,rhythm and blues,blues
david peters;swing music,country music,rhythm and blues,blues
harold floyd;swing music,country music,rhythm and blues,blues
tony dagradi;swing music,country music,blues,jazz
wardell quezergue;swing music,country music,blues
barney floyd;swing music,country music,blues
david mair;swing music,country music,blues
chris porter;swing music,country music,blues
ken jacobs;swing music,country music,blues
brent rose;swing music,country music,blues
joel vanderheyden;swing music,country music,blues
john olman;swing music,country music,blues
rick trolsen;swing music,country music,blues
matt perrire;swing music,country music,blues
b.b. king;soul music,rhythm and blues,rock and roll,blues,rock music,jazz
walter king;soul music,rhythm and blues,rock and roll,blues,jazz
stanley abernathy;soul music,rhythm and blues,blues,rock music,jazz
james "boogaloo" bolden;soul music,rhythm and blues,rock and roll,blues,rock music,jazz
lil' son jackson;soul music,rhythm and blues,rock and roll,blues,rock music,jazz
calep emphrey, jr.;rock and roll,rhythm and blues,blues,rock music
james toney;rock and roll,rhythm and blues,blues,rock music
leon warren;rock and roll,rhythm and blues,blues,rock music
michael doster;rock and roll,rhythm and blues,blues,rock music
claude nobs;rhythm and blues,Latin jazz,hard rock,alternative rock,cool jazz,rock and roll,alternative hip hop,blues,rapping,hip hop culture,music of Latin America,progressive rock,gospel music,funk,rock music,classical music,music of Asia,pop music,jazz fusion,vocal music,country music,contemporary R&B,big band,music of the Caribbean,soul music,punk rock,jazz
shemekia copeland;soul music,rhythm and blues,folk rock,blues,country music,rock music
barry harrison;rhythm and blues,blues
dona oxford;rhythm and blues
arthur neilson;rock music,rhythm and blues,blues
eric king;rhythm and blues
suzanne vega;alternative rock,traditional folk music,folk rock
michael visceglia;folk rock
lou reed;alternative rock
fernando saunders;alternative rock
tony smith;rhythm and blues,gospel music,alternative rock,jazz fusion,acid jazz
mike rathke;alternative rock
joseph shabalala;music of Africa,a cappella
albert mazibuko;music of Africa,a cappella
abednego mazibuko;music of Africa,a cappella
russel mthembu;music of Africa,a cappella
