"id","rank","rating","year"
1309941,1211,3.6,1976
9868028,1212,3.59,1998
2466044,1215,3.28,1991
1607240,1218,3.82,1977
612185,1219,3.3,1973
1590541,1220,3.66,2006
24111347,1221,3.45,2022
1633009,1222,3.65,1976
2198071,1225,3.7,1987
1002267,1226,3.83,1997
3960206,1227,3.93,1989
8854088,1229,3.76,1998
3277598,1230,3.84,2009
1228872,1231,3.84,1995
5366534,1232,3.93,1972
2237256,1238,3.95,1965
1170567,1240,3.87,2005
1746468,1241,3.91,1968
2544077,1242,3.24,2001
1582470,1243,3.39,1979
6896383,1246,3.65,1987
8593302,1247,3.79,2006
1611358,1248,4.07,1974
7831491,1251,3.6,2015
998090,1252,3.61,1996
16022617,1254,4.03,1993
9919686,1255,3.27,2017
8587781,1256,3.67,1995
1066991,1257,3.69,1967
2972303,1259,3.72,2003
4193460,1260,3.51,1984
1599597,1261,3.71,2002
9559703,1264,3.59,2010
788916,1266,3.34,1982
3961701,1269,3.61,1992
4918034,1270,3.74,1974
2093664,1273,3.32,2009
906632,1276,3.84,1997
8113167,1278,3.65,2003
5478954,1280,3.93,1984
11805329,1283,3.57,2018
1457295,1284,3.63,1965
2421733,1288,3.57,1990
8854511,1289,3.83,2003
3531121,1290,3.98,1979
3584671,1291,3.67,1991
767323,1292,3.9,1998
3768078,1293,4.0,2005
9695613,1294,3.61,2000
5304690,1296,3.69,1986
7744214,1297,3.71,2014
3416997,1299,3.79,1963
4300544,1300,3.52,1996
1089176,1301,3.57,1982
2666266,1302,3.8,1992
73447,1303,3.59,1985
12600449,1304,2.98,2019
3095801,1306,3.62,1984
27076272,1307,3.21,2021
11394189,1308,3.45,2009
9255941,1309,3.51,2016
1445371,1311,3.51,2007
3913698,1313,3.8,1978
6678433,1314,3.91,1972
508304,1315,3.33,1989
8453124,1316,3.52,1988
6203531,1319,3.83,1994
2980504,1320,3.84,1997
9178832,1323,3.67,1986
3887867,1327,3.42,2007
2535464,1328,3.92,1995
6037026,1329,3.74,1990
13509822,1331,3.77,1993
6717935,1332,3.92,2000
4620988,1335,4.01,1970
15838688,1337,3.54,1994
7979006,1339,3.92,1986
3130918,1343,3.7,1997
12919507,1344,4.03,1961
2704050,1345,3.61,2009
5157164,1351,3.6,2008
3798912,1354,3.93,2004
4358238,1355,3.78,2005
15496862,1356,3.86,1995
2656781,1357,3.69,1986
5834170,1359,3.78,2003
2270219,1360,3.79,1973
13784371,1362,3.49,2018
1274044,1364,3.73,2002
1102775,1365,3.39,2004
4577712,1366,3.9,1966
19136515,1369,3.52,1981
256971,1371,3.6,1970
10890274,1374,3.74,1997
2209593,1376,3.84,2009
3470312,1377,3.74,1998
5687596,1378,3.76,2014
5908666,1379,3.46,1991
1660485,1380,3.95,1973
10180352,1383,3.85,2000
1045758,1384,3.72,1982
11899395,1386,3.69,2018
2921115,1387,4.04,1976
11284855,1389,3.42,2017
8958236,1390,3.81,1999
2388567,1391,3.44,2006
3039487,1392,3.57,2006
9100743,1394,3.82,None
11822765,1395,3.81,2013
2096414,1396,4.08,1960
3185095,1397,4.02,1989
1823569,1399,3.47,1969
1936676,1400,3.28,1998
1636983,1401,3.69,1990
5299585,1402,3.81,1968
3891376,1407,3.71,2001
4896363,1408,4.03,1997
7170694,1410,3.76,2014
3519876,1411,3.4,2011
2127229,1413,4.03,1979
3870751,1415,3.77,1969
687671,1418,3.44,1958
1186874,1420,3.51,1950
4694547,1421,3.33,1991
7447145,1422,3.77,1994
920266,1423,4.0,1994
1385670,1426,3.68,2003
164212,1427,3.29,2001
4023302,1429,4.0,1990
989750,1430,3.43,1992
9607133,1432,3.63,2000
10421592,1434,3.84,1998
3548688,1435,3.95,1973
10390955,1436,3.89,2000
249705,1437,3.58,1969
9437910,1438,3.65,2002
8697635,1442,3.41,2016
1131924,1443,3.45,1996
1237887,1445,3.57,2003
5510157,1446,3.69,1956
2137047,1447,3.75,1974
6731998,1450,4.0,1977
6862384,1451,3.4,2015
2507426,1452,3.69,1965
4797454,1453,3.21,2011
1439587,1454,3.34,1994
4330138,1455,3.77,1985
2949283,1458,3.92,1957
6990695,1459,3.26,2015
1152558,1462,3.64,2003
10890505,1464,3.66,2021
2819930,1465,3.81,2001
5266811,1466,3.92,1974
15780838,1468,3.57,2020
1192863,1469,3.95,1977
2465904,1470,3.5,2010
1528448,1471,3.83,2001
10190842,1472,3.71,1999
23934773,1473,3.0,2022
1615843,1474,3.66,1963
585410,1478,3.54,2000
9082535,1480,3.29,2016
2703886,1483,3.8,1978
4129753,1484,3.58,1988
17785555,1485,3.78,2021
3142313,1486,3.28,2011
2533789,1487,3.5,1999
2410564,1489,3.65,1995
951577,1490,3.73,2006
4591304,1491,3.96,1967
2642538,1494,3.62,1994
22948067,1496,3.27,2008
8629120,1498,3.32,2013
11457418,1499,3.72,1973
2992464,1500,3.62,1959
2512773,1504,3.66,1988
1505102,1505,3.78,2006
19943368,1508,2.8,2010
11672807,1510,3.6,1980
325890,1511,3.76,1975
1481353,1513,3.63,1996
8665971,1514,3.78,1997
7021228,1515,3.46,1998
4027122,1516,3.67,2008
14918089,1518,3.37,2020
24687308,1519,3.56,2022
509616,1521,3.75,2002
15790026,1524,3.69,1993
935987,1525,3.48,2001
2572031,1527,3.56,1974
6856057,1533,3.68,1998
2428072,1534,3.72,2001
3978848,1538,3.76,1994
1960264,1539,3.76,2002
6455937,1540,3.63,1999
3494330,1542,3.85,2008
2838765,1546,3.78,1999
1174142,1548,3.52,2000
8204920,1549,3.93,2016
8748352,1552,3.74,1991
4037033,1557,3.66,2001
8134702,1558,3.13,2016
3494330,1560,3.82,1990
1529419,1561,3.54,1997
3544550,1562,3.7,1993
3795650,1563,3.88,1982
4692676,1565,3.29,2013
11504794,1567,3.46,1995
1430362,1568,3.67,1999
13727387,1569,3.33,2019
3593018,1572,3.42,1984
296375,1573,3.62,1967
4552600,1575,3.87,1981
6177523,1580,4.05,1982
1577012,1583,3.08,1973
7340301,1584,3.96,1986
15346630,1587,3.7,2016
9303606,1589,3.83,1989
12879802,1593,3.71,2003
5438519,1594,3.83,1981
1547242,1595,3.91,1984
4019986,1596,3.9,1955
1818574,1597,3.99,1994
3474003,1598,4.17,1987
4380832,1599,3.57,2010
1056313,1600,3.6,2020
8048325,1602,3.95,1984
6214147,1603,3.15,2014
19930594,1604,3.72,1993
10758904,1605,3.59,2000
4969838,1610,3.79,2000
10734824,1612,3.61,1985
4520730,1613,3.71,2007
7435161,1614,3.89,1991
4011429,1618,3.84,2002
8201438,1619,4.01,1967
2992839,1622,3.36,2006
10043002,1624,3.82,1987
5228647,1625,3.31,1994
703237,1626,3.48,1998
3110252,1627,3.69,1997
7072921,1629,3.86,1967
15200104,1631,3.55,2011
5149154,1635,3.89,1961
920266,1636,4.07,1993
2647312,1638,3.86,1990
11614854,1639,3.9,1990
10721100,1641,3.56,1999
4084139,1643,3.94,1987
3088772,1645,3.7,1993
1476122,1647,3.93,1990
2586385,1649,3.6,1999
2525291,1650,2.85,1977
14751039,1651,3.99,1999
257558,1653,3.46,1997
7800130,1656,3.78,1996
1400108,1657,3.6,1988
1372673,1660,3.63,2000
1577717,1661,3.47,1979
1494384,1662,3.56,2005
7088372,1664,3.49,1977
9473733,1665,3.6,1968
12234280,1666,3.71,1967
11978791,1667,3.57,2018
6146002,1668,3.98,1987
13308540,1669,3.22,2021
2573941,1670,3.79,1989
736653,1672,3.56,1979
2306095,1674,3.98,1983
1814120,1675,3.38,2000
4319651,1678,3.72,1970
3519931,1681,3.59,2011
8860010,1682,3.63,1999
1954331,1683,3.68,1990
3108431,1685,3.98,1988
9929272,1687,3.57,1998
2915917,1688,3.66,1996
1299095,1690,3.63,2004
4019986,1692,3.36,1914
2228857,1693,3.52,2009
9901067,1694,3.73,2003
5370526,1695,3.73,1983
3588354,1696,2.75,2012
8255728,1697,3.39,1999
1620405,1698,3.77,1996
15430300,1699,3.67,2016
6245312,1700,3.76,1954
1423923,1702,3.59,2007
18993127,1703,3.68,2021
7890923,1705,3.9,1995
2931336,1707,3.64,1983
1226446,1710,3.55,2000
10281212,1711,3.66,1995
4045739,1712,2.84,1984
1629819,1713,3.51,1994
1368885,1714,3.67,2004
1000502,1716,3.66,1998
11490996,1717,3.83,2006
2546910,1718,3.5,2010
16022617,1719,3.7,2000
1153289,1722,3.71,2002
7512276,1728,3.7,2000
1945190,1731,3.75,1990
9630014,1732,3.83,1995
2603974,1733,3.9,1995
7209330,1735,3.49,2015
4788800,1736,3.73,2020
14373996,1737,3.33,2019
27960945,1738,3.44,2023
6941136,1739,3.87,2005
5156252,1740,4.15,1973
5100259,1742,3.43,1992
7566618,1744,3.75,1997
13489805,1745,3.75,2003
4005875,1747,3.83,2011
878990,1751,3.65,1974
9663078,1752,4.02,2004
9403538,1753,3.57,2016
23981201,1754,3.55,2022
1476359,1756,3.76,2001
3507568,1758,3.6,2011
4325270,1760,3.65,2002
11618661,1762,3.39,2018
3754773,1765,3.84,1985
14190609,1766,4.04,2019
7893087,1768,3.58,2002
6095556,1769,3.7,2006
1003231,1770,3.7,1981
4772626,1771,3.71,2013
3327140,1772,3.62,1989
1156363,1773,3.87,2001
2720179,1774,3.98,2002
2117497,1776,3.44,1967
7785704,1778,3.77,2012
3004124,1780,4.04,1970
1020754,1782,3.22,2003
3463563,1785,3.73,1966
2016856,1786,3.95,1986
8646991,1787,3.38,2016
3955270,1790,3.66,2012
1856613,1791,3.45,2007
9980973,1792,3.53,2007
1956495,1793,3.62,1988
4352354,1794,3.65,2006
3155695,1795,3.91,1962
27626019,1797,3.52,2018
2270219,1800,3.96,1973
14389056,1802,2.68,2019
1646876,1803,2.85,1975
15853151,1804,3.2,2020
719365,1806,3.43,2005
2063393,1807,3.81,2002
691484,1809,3.39,1999
13455352,1812,3.98,1991
2034128,1813,3.59,1999
2138258,1814,3.46,2001
1060169,1815,3.57,1981
15871749,1817,3.67,2020
7941924,1818,3.83,1998
7541344,1819,3.29,2015
3289656,1820,3.68,1996
1256778,1823,3.72,2008
2407821,1824,4.03,1970
222292,1827,3.7,1997
